image_path,gender,articleType,baseColour
./images\51352.jpg,Women,Jeans,Blue
./images\39990.jpg,Men,Casual Shoes,White
./images\53462.jpg,Women,Bra,Maroon
./images\19408.jpg,Men,Tshirts,Off White
./images\11069.jpg,Men,Shirts,Black
./images\42104.jpg,Men,Shorts,Navy Blue
./images\31696.jpg,Women,Kurtas,Orange
./images\46117.jpg,Unisex,Casual Shoes,Red
./images\17560.jpg,Men,Shirts,Red
./images\57962.jpg,Women,Sarees,Multi
./images\17843.jpg,Men,Casual Shoes,White
./images\20030.jpg,Men,Shirts,Blue
./images\9953.jpg,Men,Tshirts,Yellow
./images\4888.jpg,Women,Tops,White
./images\6232.jpg,Women,Tshirts,Pink
./images\25449.jpg,Women,Flip Flops,Green
./images\4370.jpg,Men,Tshirts,Grey
./images\46253.jpg,Women,Kurtas,White
./images\13181.jpg,Men,Sports Shoes,White
./images\14942.jpg,Men,Tshirts,Black
./images\26077.jpg,Men,Shirts,Pink
./images\19977.jpg,Men,Tshirts,White
./images\50187.jpg,Women,Handbags,Orange
./images\37759.jpg,Men,Shirts,Grey
./images\43667.jpg,Women,Dresses,Purple
./images\50305.jpg,Men,Ties,Cream
./images\57562.jpg,Women,Lipstick,Pink
./images\34765.jpg,Women,Handbags,Beige
./images\47601.jpg,Women,Flats,Brown
./images\5850.jpg,Men,Tshirts,Grey
./images\39452.jpg,Women,Kurtas,Blue
./images\26630.jpg,Women,Flats,White
./images\58491.jpg,Women,Shorts,Olive
./images\27228.jpg,Women,Dresses,Pink
./images\31885.jpg,Women,Sarees,White
./images\40600.jpg,Women,Kurtas,Blue
./images\25447.jpg,Men,Casual Shoes,Navy Blue
./images\41687.jpg,Women,Heels,Beige
./images\4262.jpg,Men,Tshirts,White
./images\46564.jpg,Men,Watches,Olive
./images\54060.jpg,Women,Patiala,Green
./images\22768.jpg,Women,Kurtas,Grey
./images\5390.jpg,Unisex,Sports Shoes,Grey
./images\25585.jpg,Men,Sports Shoes,Silver
./images\52162.jpg,Women,Dresses,Black
./images\45156.jpg,Men,Watches,Black
./images\46621.jpg,Women,Heels,Brown
./images\27819.jpg,Men,Belts,Brown
./images\21586.jpg,Men,Jeans,Grey
./images\4617.jpg,Unisex,Backpacks,Blue
./images\47291.jpg,Women,Wallets,Blue
./images\27500.jpg,Women,Camisoles,Blue
./images\6223.jpg,Women,Tshirts,Black
./images\19801.jpg,Men,Tshirts,Blue
./images\3351.jpg,Men,Tshirts,White
./images\21444.jpg,Women,Tshirts,Cream
./images\14858.jpg,Women,Wallets,Red
./images\25858.jpg,Unisex,Laptop Bag,Grey
./images\55097.jpg,Women,Face Moisturisers,Gold
./images\48602.jpg,Women,Earrings,Silver
./images\9509.jpg,Men,Track Pants,Grey
./images\48231.jpg,Women,Sunglasses,Brown
./images\33709.jpg,Men,Formal Shoes,Brown
./images\57366.jpg,Women,Briefs,Pink
./images\3949.jpg,Women,Tops,White
./images\50641.jpg,Men,Innerwear Vests,Grey
./images\4445.jpg,Men,Sports Shoes,Black
./images\55430.jpg,Women,Lipstick,Peach
./images\13900.jpg,Men,Sports Shoes,Black
./images\3181.jpg,Men,Sports Shoes,Grey
./images\12194.jpg,Men,Tshirts,Blue
./images\24065.jpg,Men,Shirts,Green
./images\46493.jpg,Men,Watches,Brown
./images\56082.jpg,Women,Lip Gloss,Red
./images\48313.jpg,Women,Bracelet,Gold
./images\58684.jpg,Women,Kurtas,Beige
./images\3411.jpg,Women,Tshirts,Black
./images\39870.jpg,Women,Heels,Gold
./images\45295.jpg,Women,Watches,Silver
./images\9586.jpg,Unisex,Handbags,Pink
./images\12973.jpg,Men,Sports Shoes,White
./images\39674.jpg,Men,Sports Shoes,White
./images\10202.jpg,Women,Handbags,Green
./images\33112.jpg,Women,Casual Shoes,Black
./images\19797.jpg,Men,Tshirts,Grey
./images\42555.jpg,Women,Kurtas,Purple
./images\33399.jpg,Women,Handbags,Purple
./images\52927.jpg,Women,Sarees,Blue
./images\42262.jpg,Men,Jeans,Blue
./images\32615.jpg,Men,Belts,Black
./images\2338.jpg,Men,Tshirts,White
./images\34626.jpg,Women,Watches,Silver
./images\5994.jpg,Men,Shirts,Grey
./images\19744.jpg,Men,Jackets,Green
./images\52128.jpg,Girls,Dresses,Blue
./images\12987.jpg,Men,Casual Shoes,Black
./images\49782.jpg,Women,Night suits,Pink
./images\12090.jpg,Women,Kurtas,Cream
./images\38347.jpg,Boys,Tshirts,White
./images\38739.jpg,Unisex,Backpacks,Black
./images\44102.jpg,Men,Perfume and Body Mist,Black
./images\27608.jpg,Men,Trousers,Black
./images\42138.jpg,Men,Sports Shoes,Black
./images\11778.jpg,Men,Tshirts,Grey
./images\59753.jpg,Women,Briefs,White
./images\35554.jpg,Girls,Sandals,Pink
./images\21471.jpg,Women,Casual Shoes,Purple
./images\43614.jpg,Women,Tunics,Pink
./images\33737.jpg,Women,Handbags,Black
./images\59104.jpg,Men,Rain Jacket,Brown
./images\6159.jpg,Men,Tshirts,Black
./images\54389.jpg,Women,Wallets,Yellow
./images\4016.jpg,Men,Casual Shoes,Maroon
./images\48386.jpg,Men,Jeans,Black
./images\33280.jpg,Unisex,Jeans,Blue
./images\54885.jpg,Women,Necklace and Chains,Blue
./images\26498.jpg,Men,Tshirts,Grey
./images\30756.jpg,Men,Kurtas,Green
./images\19601.jpg,Women,Tops,Peach
./images\10504.jpg,Women,Tshirts,White
./images\33353.jpg,Men,Formal Shoes,Black
./images\4636.jpg,Men,Sports Shoes,White
./images\19670.jpg,Women,Tshirts,Olive
./images\41221.jpg,Men,Flip Flops,Blue
./images\47078.jpg,Women,Patiala,Multi
./images\56503.jpg,Women,Nail Polish,Red
./images\46476.jpg,Women,Watches,White
./images\14702.jpg,Men,Jackets,Black
./images\20230.jpg,Women,Sweaters,Grey
./images\25150.jpg,Women,Handbags,Black
./images\52155.jpg,Women,Dresses,Purple
./images\11998.jpg,Men,Shirts,White
./images\24630.jpg,Women,Flip Flops,Blue
./images\43267.jpg,Women,Kurtas,Orange
./images\7756.jpg,Men,Tshirts,Black
./images\56461.jpg,Women,Nail Polish,Nude
./images\5796.jpg,Men,Tshirts,Green
./images\39385.jpg,Men,Jeans,Grey
./images\50763.jpg,Men,Sandals,Navy Blue
./images\3704.jpg,Women,Tshirts,Navy Blue
./images\7783.jpg,Men,Track Pants,Black
./images\17713.jpg,Men,Shirts,Blue
./images\17960.jpg,Men,Sandals,Black
./images\24163.jpg,Women,Kurtas,Navy Blue
./images\3395.jpg,Women,Handbags,Red
./images\3888.jpg,Men,Tshirts,Grey
./images\31936.jpg,Women,Tunics,Blue
./images\46034.jpg,Women,Jewellery Set,Gold
./images\48037.jpg,Men,Watches,Black
./images\56122.jpg,Women,Foundation and Primer,Skin
./images\29109.jpg,Women,Socks,Purple
./images\7874.jpg,Men,Formal Shoes,Tan
./images\49924.jpg,Women,Sarees,Green
./images\6626.jpg,Men,Sports Shoes,Blue
./images\57492.jpg,Men,Casual Shoes,Brown
./images\48124.jpg,Women,Belts,Brown
./images\49246.jpg,Men,Caps,Red
./images\48163.jpg,Women,Wallets,Blue
./images\46505.jpg,Men,Watches,Gold
./images\42067.jpg,Men,Wallets,Black
./images\18707.jpg,Women,Briefs,Pink
./images\26023.jpg,Men,Deodorant,Silver
./images\4352.jpg,Men,Tshirts,White
./images\13516.jpg,Women,Skirts,Blue
./images\40943.jpg,Girls,Tops,Pink
./images\59669.jpg,Women,Sarees,Yellow
./images\15666.jpg,Unisex,Backpacks,Black
./images\10102.jpg,Men,Sports Shoes,Black
./images\16393.jpg,Men,Shirts,Black
./images\11897.jpg,Men,Formal Shoes,Brown
./images\22220.jpg,Women,Tshirts,White
./images\45843.jpg,Women,Kurtas,White
./images\8072.jpg,Women,Sports Shoes,Grey
./images\22003.jpg,Women,Handbags,Blue
./images\11495.jpg,Women,Flats,Grey
./images\49799.jpg,Men,Caps,Black
./images\44548.jpg,Men,Sandals,Black
./images\19907.jpg,Unisex,Backpacks,Red
./images\56029.jpg,Women,Lipstick,Maroon
./images\53689.jpg,Women,Handbags,Yellow
./images\19870.jpg,Men,Flip Flops,White
./images\35044.jpg,Women,Kurtas,Black
./images\3873.jpg,Men,Tshirts,Blue
./images\43920.jpg,Women,Dresses,Cream
./images\14633.jpg,Women,Tops,Green
./images\5582.jpg,Men,Sports Shoes,White
./images\3044.jpg,Men,Tshirts,Blue
./images\58977.jpg,Men,Deodorant,Silver
./images\39875.jpg,Unisex,Messenger Bag,Brown
./images\22579.jpg,Women,Sweatshirts,Black
./images\12040.jpg,Men,Shirts,Blue
./images\49501.jpg,Men,Casual Shoes,Navy Blue
./images\4607.jpg,Unisex,Backpacks,Blue
./images\45982.jpg,Women,Tops,Blue
./images\34340.jpg,Men,Tshirts,Purple
./images\47676.jpg,Women,Dresses,Black
./images\48416.jpg,Men,Tshirts,Blue
./images\20454.jpg,Women,Belts,Teal
./images\6304.jpg,Unisex,Flip Flops,Red
./images\25711.jpg,Unisex,Caps,Pink
./images\47006.jpg,Women,Kurtis,Multi
./images\47166.jpg,Men,Belts,Brown
./images\12441.jpg,Men,Wallets,Black
./images\36227.jpg,Men,Casual Shoes,Brown
./images\28439.jpg,Women,Watches,White
./images\35900.jpg,Women,Handbags,Green
./images\3418.jpg,Men,Tshirts,Black
./images\15530.jpg,Men,Tshirts,Blue
./images\57016.jpg,Men,Briefs,Blue
./images\42175.jpg,Men,Tshirts,White
./images\46920.jpg,Men,Perfume and Body Mist,Black
./images\30172.jpg,Men,Watches,Black
./images\48178.jpg,Women,Handbags,Teal
./images\24724.jpg,Men,Tshirts,Blue
./images\49524.jpg,Women,Clutches,Purple
./images\52953.jpg,Women,Sarees,Multi
./images\6822.jpg,Men,Sandals,Brown
./images\10112.jpg,Women,Sports Shoes,White
./images\15269.jpg,Women,Casual Shoes,Pink
./images\27836.jpg,Men,Belts,Red
./images\55218.jpg,Women,Lip Liner,Black
./images\15770.jpg,Men,Briefs,Grey
./images\59577.jpg,Men,Cufflinks,Steel
./images\4732.jpg,Men,Flip Flops,White
./images\52797.jpg,Men,Wallets,Brown
./images\26794.jpg,Men,Shirts,Grey
./images\17646.jpg,Unisex,Flip Flops,Green
./images\42081.jpg,Men,Wallets,Brown
./images\9461.jpg,Men,Shirts,White
./images\42909.jpg,Women,Belts,Brown
./images\7484.jpg,Women,Tshirts,Pink
./images\22475.jpg,Men,Tshirts,Green
./images\4735.jpg,Men,Casual Shoes,Brown
./images\45145.jpg,Men,Watches,White
./images\2785.jpg,Men,Tshirts,Black
./images\16664.jpg,Men,Sweatshirts,Black
./images\40164.jpg,Men,Sunglasses,Black
./images\55854.jpg,Women,Nail Polish,Pink
./images\43677.jpg,Women,Dresses,Navy Blue
./images\40621.jpg,Women,Kurtas,Green
./images\3367.jpg,Women,Sports Shoes,White
./images\20596.jpg,Women,Wallets,Grey
./images\22828.jpg,Men,Casual Shoes,Black
./images\26103.jpg,Men,Shirts,Black
./images\31245.jpg,Men,Tshirts,White
./images\26229.jpg,Men,Tshirts,Black
./images\6066.jpg,Men,Tshirts,Black
./images\15171.jpg,Men,Tshirts,Blue
./images\54095.jpg,Men,Caps,White
./images\12773.jpg,Women,Tunics,Green
./images\50722.jpg,Girls,Dresses,Pink
./images\37879.jpg,Unisex,Socks,Black
./images\24917.jpg,Men,Tshirts,White
./images\50851.jpg,Women,Sarees,Maroon
./images\7040.jpg,Men,Casual Shoes,Navy Blue
./images\33362.jpg,Women,Wallets,Black
./images\37483.jpg,Women,Watches,White
./images\11518.jpg,Women,Heels,Grey
./images\28516.jpg,Men,Tshirts,Red
./images\28934.jpg,Men,Tshirts,Charcoal
./images\32001.jpg,Men,Socks,Navy Blue
./images\18269.jpg,Women,Tunics,Black
./images\34908.jpg,Women,Dupatta,Black
./images\13895.jpg,Men,Shirts,Yellow
./images\18261.jpg,Women,Kurtas,Blue
./images\12852.jpg,Men,Shirts,Green
./images\6152.jpg,Men,Casual Shoes,White
./images\3507.jpg,Men,Shorts,Black
./images\17142.jpg,Women,Handbags,Brown
./images\53676.jpg,Women,Handbags,Black
./images\12134.jpg,Women,Kurtas,Pink
./images\51799.jpg,Women,Nightdress,Blue
./images\38005.jpg,Men,Watches,Pink
./images\42643.jpg,Women,Kurtas,Brown
./images\5973.jpg,Men,Shirts,Black
./images\3800.jpg,Unisex,Tshirts,Pink
./images\31103.jpg,Boys,Tshirts,Black
./images\10791.jpg,Men,Shirts,Black
./images\38209.jpg,Women,Sunglasses,Silver
./images\10184.jpg,Men,Shirts,White
./images\34337.jpg,Men,Tshirts,Purple
./images\22840.jpg,Men,Casual Shoes,Brown
./images\28080.jpg,Men,Briefs,Charcoal
./images\1916.jpg,Men,Sports Shoes,Black
./images\10621.jpg,Women,Flats,Silver
./images\33561.jpg,Women,Tshirts,Green
./images\4439.jpg,Unisex,Casual Shoes,White
./images\46686.jpg,Women,Perfume and Body Mist,White
./images\6190.jpg,Women,Tops,Grey
./images\7724.jpg,Men,Casual Shoes,White
./images\2631.jpg,Women,Flats,White
./images\19043.jpg,Women,Heels,Blue
./images\57961.jpg,Women,Sarees,Black
./images\9563.jpg,Men,Shirts,Blue
./images\10425.jpg,Men,Shirts,Green
./images\21165.jpg,Women,Tops,Navy Blue
./images\46560.jpg,Men,Watches,Black
./images\22097.jpg,Men,Casual Shoes,White
./images\7654.jpg,Men,Socks,Grey
./images\5300.jpg,Unisex,Backpacks,Yellow
./images\29922.jpg,Men,Watches,Black
./images\3646.jpg,Men,Casual Shoes,Black
./images\9827.jpg,Women,Tshirts,White
./images\39332.jpg,Boys,Tshirts,White
./images\22388.jpg,Men,Shirts,Blue
./images\22598.jpg,Women,Tshirts,Purple
./images\30804.jpg,Men,Shirts,Rust
./images\3886.jpg,Men,Tshirts,Blue
./images\34288.jpg,Women,Dupatta,Off White
./images\35511.jpg,Men,Flip Flops,Black
./images\2867.jpg,Men,Tshirts,Black
./images\55424.jpg,Women,Lipstick,Pink
./images\21487.jpg,Women,Handbags,Black
./images\48825.jpg,Women,Pendant,Silver
./images\32598.jpg,Women,Tops,Orange
./images\44858.jpg,Men,Tshirts,Red
./images\26345.jpg,Women,Watches,Black
./images\44239.jpg,Men,Flip Flops,Brown
./images\37728.jpg,Men,Shirts,Green
./images\27423.jpg,Women,Lounge Shorts,Magenta
./images\26871.jpg,Women,Tops,White
./images\4295.jpg,Men,Tshirts,Orange
./images\42804.jpg,Women,Briefs,Grey
./images\28157.jpg,Men,Sunglasses,Gold
./images\47660.jpg,Women,Tunics,White
./images\13634.jpg,Women,Lounge Pants,White
./images\29981.jpg,Women,Free Gifts,Blue
./images\34600.jpg,Women,Dresses,Pink
./images\50854.jpg,Women,Sarees,White
./images\14359.jpg,Women,Heels,Copper
./images\15736.jpg,Men,Casual Shoes,White
./images\17864.jpg,Men,Briefs,Black
./images\20272.jpg,Women,Heels,Silver
./images\42075.jpg,Men,Wallets,Black
./images\50731.jpg,Men,Sandals,Black
./images\29440.jpg,Men,Watches,Steel
./images\15311.jpg,Men,Sandals,Beige
./images\53921.jpg,Women,Handbags,Brown
./images\59100.jpg,Women,Briefs,Purple
./images\41851.jpg,Men,Socks,Black
./images\2251.jpg,Men,Flip Flops,Brown
./images\28246.jpg,Men,Deodorant,Red
./images\59987.jpg,Women,Dresses,Black
./images\7558.jpg,Men,Tshirts,Grey
./images\57093.jpg,Women,Shorts,Blue
./images\14628.jpg,Women,Sweatshirts,Blue
./images\33662.jpg,Men,Sandals,Black
./images\21006.jpg,Women,Belts,Black
./images\33702.jpg,Men,Formal Shoes,Black
./images\29882.jpg,Men,Sunglasses,Brown
./images\8824.jpg,Men,Shirts,Black
./images\24855.jpg,Women,Tops,Red
./images\12613.jpg,Men,Tshirts,Black
./images\32530.jpg,Men,Deodorant,Blue
./images\12860.jpg,Men,Formal Shoes,Black
./images\8546.jpg,Women,Flip Flops,Brown
./images\47534.jpg,Women,Flats,Turquoise Blue
./images\34400.jpg,Men,Tshirts,Black
./images\59433.jpg,Women,Clutches,Red
./images\48256.jpg,Boys,Tshirts,Navy Blue
./images\9201.jpg,Men,Sports Shoes,White
./images\33910.jpg,Men,Watches,Silver
./images\31689.jpg,Women,Sports Shoes,Grey
./images\16751.jpg,Women,Clutches,Copper
./images\52440.jpg,Women,Nightdress,Black
./images\9477.jpg,Men,Shirts,Black
./images\17243.jpg,Men,Tshirts,Black
./images\49133.jpg,Women,Lipstick,Pink
./images\34229.jpg,Men,Tshirts,Grey
./images\16858.jpg,Men,Sunglasses,Black
./images\17558.jpg,Men,Shirts,Blue
./images\25540.jpg,Men,Shirts,Blue
./images\42813.jpg,Women,Briefs,Navy Blue
./images\40666.jpg,Women,Tops,Navy Blue
./images\55292.jpg,Women,Lip Gloss,Pink
./images\7044.jpg,Men,Casual Shoes,Grey
./images\37687.jpg,Unisex,Backpacks,Brown
./images\18598.jpg,Men,Sports Sandals,Navy Blue
./images\38598.jpg,Men,Tshirts,Purple
./images\15160.jpg,Men,Tshirts,Orange
./images\46726.jpg,Women,Perfume and Body Mist,Silver
./images\21150.jpg,Men,Shirts,Blue
./images\57412.jpg,Women,Briefs,Pink
./images\4056.jpg,Men,Tshirts,White
./images\4969.jpg,Men,Tshirts,Blue
./images\41608.jpg,Men,Shirts,Blue
./images\30594.jpg,Unisex,Caps,Green
./images\42109.jpg,Men,Tshirts,Black
./images\42959.jpg,Men,Belts,Black
./images\44636.jpg,Men,Tshirts,White
./images\3854.jpg,Girls,Tshirts,Pink
./images\39057.jpg,Men,Cufflinks,Steel
./images\4614.jpg,Unisex,Handbags,Blue
./images\13328.jpg,Men,Shirts,Green
./images\2921.jpg,Women,Tshirts,Multi
./images\15468.jpg,Men,Tshirts,Blue
./images\29529.jpg,Women,Watches,Black
./images\52325.jpg,Women,Bangle,Orange
./images\31297.jpg,Women,Tshirts,Black
./images\8527.jpg,Men,Sandals,Black
./images\28159.jpg,Men,Sunglasses,Metallic
./images\38534.jpg,Men,Casual Shoes,Brown
./images\9483.jpg,Unisex,Backpacks,Red
./images\3197.jpg,Men,Tshirts,Maroon
./images\39781.jpg,Men,Shirts,White
./images\6798.jpg,Men,Socks,Black
./images\14141.jpg,Men,Cufflinks,Steel
./images\11652.jpg,Men,Watches,Black
./images\30144.jpg,Women,Tshirts,Black
./images\10173.jpg,Men,Sandals,Brown
./images\5834.jpg,Men,Tshirts,White
./images\50047.jpg,Women,Bra,Skin
./images\43109.jpg,Women,Perfume and Body Mist,Blue
./images\5003.jpg,Women,Shorts,Blue
./images\36813.jpg,Men,Perfume and Body Mist,Black
./images\37586.jpg,Girls,Innerwear Vests,Pink
./images\20522.jpg,Women,Handbags,Black
./images\13437.jpg,Men,Tshirts,Grey
./images\34133.jpg,Men,Wallets,Brown
./images\15992.jpg,Men,Shirts,Blue
./images\56086.jpg,Women,Lip Gloss,Brown
./images\39939.jpg,Men,Casual Shoes,White
./images\6110.jpg,Men,Tshirts,Purple
./images\19816.jpg,Men,Sweatshirts,Grey
./images\9350.jpg,Men,Socks,White
./images\5153.jpg,Women,Tshirts,White
./images\57865.jpg,Women,Sunscreen,Yellow
./images\8581.jpg,Men,Waistcoat,Black
./images\12680.jpg,Unisex,Caps,Navy Blue
./images\27808.jpg,Men,Belts,Black
./images\11588.jpg,Women,Kurtis,Green
./images\27933.jpg,Women,Shirts,Pink
./images\36288.jpg,Women,Night suits,Pink
./images\58685.jpg,Women,Kurtas,Black
./images\18179.jpg,Girls,Tops,Black
./images\26536.jpg,Men,Casual Shoes,White
./images\6562.jpg,Men,Tshirts,Green
./images\53438.jpg,Men,Sports Shoes,Black
./images\14379.jpg,Women,Heels,Beige
./images\13909.jpg,Men,Sandals,Black
./images\29223.jpg,Men,Socks,White
./images\44747.jpg,Men,Casual Shoes,Black
./images\27046.jpg,Women,Handbags,Brown
./images\24835.jpg,Men,Casual Shoes,Brown
./images\15634.jpg,Men,Tshirts,Navy Blue
./images\6196.jpg,Men,Tshirts,Black
./images\54168.jpg,Women,Necklace and Chains,Silver
./images\23966.jpg,Men,Tshirts,Purple
./images\8598.jpg,Men,Tshirts,Green
./images\42415.jpg,Women,Kurtas,White
./images\46609.jpg,Women,Heels,Tan
./images\19310.jpg,Men,Sports Shoes,White
./images\53211.jpg,Men,Shirts,Blue
./images\15216.jpg,Women,Handbags,Grey
./images\7451.jpg,Men,Tshirts,White
./images\20886.jpg,Men,Sports Shoes,Black
./images\5019.jpg,Women,Skirts,Navy Blue
./images\31085.jpg,Women,Stoles,Brown
./images\39302.jpg,Men,Casual Shoes,Brown
./images\50167.jpg,Women,Heels,Brown
./images\29042.jpg,Men,Track Pants,Black
./images\28549.jpg,Women,Tshirts,Blue
./images\34342.jpg,Men,Tshirts,Purple
./images\5573.jpg,Men,Sports Shoes,Grey
./images\58500.jpg,Women,Tops,White
./images\27273.jpg,Women,Tunics,Grey
./images\45009.jpg,Men,Watches,Steel
./images\24414.jpg,Men,Sports Shoes,White
./images\7381.jpg,Men,Formal Shoes,Brown
./images\37334.jpg,Women,Watches,White
./images\57655.jpg,Women,Nail Polish,Brown
./images\53506.jpg,Women,Bra,Black
./images\14387.jpg,Women,Heels,Beige
./images\19648.jpg,Women,Tops,Brown
./images\7204.jpg,Women,Tops,Purple
./images\8669.jpg,Unisex,Sunglasses,Green
./images\10692.jpg,Men,Tshirts,Red
./images\38575.jpg,Men,Track Pants,Black
./images\7107.jpg,Unisex,Backpacks,Olive
./images\2163.jpg,Men,Shirts,Red
./images\5119.jpg,Women,Tshirts,Beige
./images\19477.jpg,Men,Jackets,Blue
./images\48732.jpg,Men,Bangle,Steel
./images\57720.jpg,Women,Lip Gloss,Pink
./images\11465.jpg,Men,Shirts,Blue
./images\2114.jpg,Women,Track Pants,Black
./images\21711.jpg,Men,Watches,Grey
./images\31822.jpg,Men,Watches,Black
./images\30501.jpg,Women,Bra,Purple
./images\38167.jpg,Women,Sunglasses,Brown
./images\38993.jpg,Boys,Jeans,Blue
./images\28742.jpg,Women,Tops,Brown
./images\19556.jpg,Women,Tshirts,White
./images\8940.jpg,Men,Shirts,Red
./images\14674.jpg,Men,Shirts,Yellow
./images\46899.jpg,Men,Deodorant,Black
./images\5743.jpg,Men,Tshirts,Cream
./images\29021.jpg,Men,Tshirts,Grey
./images\17836.jpg,Women,Flip Flops,Pink
./images\28751.jpg,Women,Kurtas,Blue
./images\36418.jpg,Women,Sports Shoes,Pink
./images\45034.jpg,Men,Watches,Black
./images\42979.jpg,Men,Boxers,Black
./images\12303.jpg,Men,Shirts,Red
./images\58138.jpg,Women,Ring,Silver
./images\2558.jpg,Women,Track Pants,Black
./images\57432.jpg,Women,Tshirts,Yellow
./images\6134.jpg,Men,Casual Shoes,Black
./images\42981.jpg,Men,Boxers,Navy Blue
./images\12997.jpg,Boys,Casual Shoes,Brown
./images\1932.jpg,Women,Casual Shoes,Grey
./images\31855.jpg,Men,Watches,White
./images\40978.jpg,Boys,Tshirts,Red
./images\5631.jpg,Unisex,Flip Flops,Yellow
./images\45134.jpg,Men,Watches,Silver
./images\31870.jpg,Women,Dupatta,Blue
./images\52360.jpg,Women,Nightdress,Off White
./images\24669.jpg,Men,Casual Shoes,Red
./images\3610.jpg,Unisex,Casual Shoes,Green
./images\58884.jpg,Men,Ties,White
./images\51689.jpg,Men,Sunglasses,Blue
./images\5389.jpg,Unisex,Sports Shoes,Yellow
./images\52570.jpg,Women,Clutches,Grey
./images\36046.jpg,Unisex,Duffel Bag,Blue
./images\58058.jpg,Women,Earrings,Gold
./images\2323.jpg,Men,Tshirts,White
./images\40255.jpg,Men,Shirts,Maroon
./images\5451.jpg,Men,Shorts,Blue
./images\50401.jpg,Women,Watches,Gold
./images\53073.jpg,Women,Clutches,Brown
./images\39318.jpg,Boys,Tshirts,Red
./images\6725.jpg,Unisex,Casual Shoes,Grey
./images\9962.jpg,Men,Tshirts,Red
./images\40467.jpg,Men,Casual Shoes,White
./images\18518.jpg,Men,Jackets,Navy Blue
./images\7414.jpg,Women,Kurtas,Black
./images\32759.jpg,Men,Shirts,Purple
./images\49959.jpg,Men,Shorts,Red
./images\34112.jpg,Girls,Tops,White
./images\55850.jpg,Women,Nail Polish,Orange
./images\9835.jpg,Women,Tshirts,Grey
./images\20579.jpg,Women,Mobile Pouch,Brown
./images\4511.jpg,Women,Sports Shoes,White
./images\27012.jpg,Women,Capris,Blue
./images\4483.jpg,Men,Casual Shoes,Silver
./images\25571.jpg,Men,Sports Shoes,White
./images\49668.jpg,Men,Sunglasses,White
./images\24561.jpg,Men,Shirts,Blue
./images\44976.jpg,Men,Watches,Black
./images\1605.jpg,Women,Track Pants,Black
./images\25306.jpg,Women,Wallets,Brown
./images\25177.jpg,Women,Handbags,Brown
./images\23965.jpg,Men,Tshirts,Green
./images\50489.jpg,Men,Trunk,Charcoal
./images\17655.jpg,Women,Heels,Black
./images\21156.jpg,Women,Shirts,Grey
./images\30347.jpg,Men,Tshirts,Off White
./images\21410.jpg,Men,Tshirts,Black
./images\30311.jpg,Men,Tshirts,Red
./images\27451.jpg,Women,Bra,Beige
./images\9557.jpg,Men,Tshirts,Blue
./images\19131.jpg,Men,Flip Flops,Grey
./images\18902.jpg,Unisex,Caps,Black
